business_id	name	stars	review_count
f9NumwFMBDn751xgFiRbNA	The Range At Lake Norman	3.5	36
51M2Kk903DFYI6gnB5I6SQ	USE MY GUY SERVICES LLC	4.5	26
cKyLV5oWZJ2NudWgqs8VZw	Oasis Auto Center - Gilbert	4.5	38
oiAlXZPIFm2nBCt0DHLu_Q	Green World Cleaners	3.5	81
uZuh51lXu7tsrC8RAwkg1A	Manolo Blahnik	4.5	32
x3Po6tJGb729u_HJPY6UCA	Glendale Glitters	2.5	52
0pOlmHVeidsh63iAWdTAfg	Hendrick Motors of Charlotte - Mercedes-Benz	2.5	32
98hyK2QEUeI8v2y0AghfZA	Pho Lee's Vietnamese Restaurant	4.5	23
oPfzMA_kA9NQwG-h-JkGzA	Bass Pro Shops Outdoor World	3.5	39
Mmd5WDFq9hHcQ3uClngGjQ	Irene's Tap Room	4.5	79
YFsb1ydMxFLrxtJ3CffVhw	LA Fitness	2.5	32
tF2ovXGBW6EeaPDWOxjpbg	Autohaus Az	3.5	79
ZkzutF0P_u0C0yTulwaHkA	Lelulos Pizzeria	4.0	31
bevuR6hYNuXCh9W0goe2kA	MD Laser Med Spa	3.5	33
1TLZtAkDMnCvTyE4wmGWYg	Ocotillo Internal Medicine Associates	3.5	20
0QjROMVW9ACKjhSEfHqNCQ	Mi Mi Restaurant	4.0	116
7j0kor_fkeYhyEpXh4OpnQ	Scramblers - Strongsville	3.5	81
Bom8MY07_YloY1R2EXrpdA	Mona Richie Bridal	2.5	24
j9bWpCRwpDVfwVT_V85qeA	Papaya Thai	2.5	130
GtQPbazps0jt7_cJghfmsA	The Market by Longo's	2.5	41
ER7zYKFy2YZVovBpElsU4w	Cowtown Boots	3.0	30
MTx-Zdl_KcU_z9G832XAjg	Taco Bell	2.5	37
W7hCuNdn2gzehta6eSHzgQ	Pete's Fish & Chips	2.0	117
8nP8ghEpT6WFcM6tfqAaGA	Sugar Bowl	3.5	720
8Hvp1tYKiQbBgGIwkCRK5g	Tony's Family Restaurant	4.0	60
z8ALoGGS7fkswkevuslq7Q	Barnes & Noble Booksellers	4.0	36
26hQy2RMyhYxjzmlE_dNeQ	Hand & Stone Massage and Facial Spa	4.0	27
W-x-vxx1ebJ9NBcP8h_98A	Ulta Beauty	2.5	57
0y6alZmSLnPzmG5_kP5Quw	J J's Pizza	4.5	21
OUBuRQi7Doshp4bUzqAz2w	Rinse n Ride Car Wash	3.5	63
Q_dh08clYUPj13GmCRzIVA	Kulinarya Express Filipino Kitchen	4.0	82
zSzk_YkSKD8NTIVem_se8w	KT Keep In Touch Nails and Spa	4.0	58
3C0bnFhjkgYP9mWORKg6cA	Chili Man	5.0	172
t749-3jKKDyO8QH3VezUHA	Chao Phraya	3.5	48
ydE2SjvSd9_NMoEBAE2PuA	Chili's Grill & Bar	3.5	51
HZ2Kn4iKeKZXjLQSFfAatw	Hot Tub Liquidators	4.5	69
xSveVu4UWuyayq8HFlf9KA	Toronto Dermatology Centre	2.5	21
NLaK58WvlNQdUunSIkt-jA	Zav Coffee Shop & Gallery	4.5	24
5X7TQsA3iDbBc8yy2YkCnA	Blimpie	4.5	35
KPqcax8EHZiPyJ0ZzfaOjg	Frederick & Sons	4.5	21
e1tqT4QNOUqDiOvmaIcxfQ	Chef Alyssa's Kitchen	4.5	58
VBVqHnViRLSYAqP7v8iNNQ	Jalapeño Inferno	3.5	247
Yr_w9lakJrKMyEG_hI6zbA	Fat Moe's Pizza & Wings	4.0	141
cicPsia8Wj-DNRkmLbD_xg	The Keg Steakhouse + Bar	3.5	91
Gg1qq7Xx2ZdvwCdG-lFKiQ	Desert Nail Spa	3.5	42
2aWV8Rx4TwtB0x2pfIPNxA	Restaurant Houston Steaks et Cotes Levees	2.0	106
rzd_2GJpkvHPejEwJ-IKHg	Somer's Restaurant	3.5	32
ymVE6ZlBgthnHBLpYBw2JQ	Spa Lamar	4.0	185
PlP0c_u3g-3LiWHpb2XnOQ	Lee Cafe	4.0	267
TvuwCoKIttCtx6kGYziziQ	Pioneer Community Park	4.5	55
ukrqHrHtptmUodckPVVu3g	Northwest Pool and Spa	5.0	22
7p8-7fjCmZfNwMdSTmH9aQ	Courtyard by Marriott Centre-Ville	3.5	45
AbQ5w5RWojGGblGRkdOxtw	Pure Life Chiropractic	5.0	20
xVXyrTWbG8U3szze-aA7eg	St. Louis Bar & Grill	2.0	34
m4PkM_cl_yG9ag4exOjg_Q	Style 5	4.5	42
8k8cMmMcuj5h85mMLMoj2w	RayNathan's	4.0	58
_wr01ajoTJtQEFIhqJFmJw	Planet Fitness	3.0	22
YHE1PS0mhFbwKJm8iJpcuQ	The Communal Mule	3.5	22
4jIwNa8twpfqvsHuWBphZw	103 Hot Pilates & Yoga	4.5	81
1aVqiz43klXaFJUUx0H5fw	Dutch Bros Coffee	4.0	247
G1t8_G105yWDTPiWe1oEQw	Southwest Medical Associates at Siena	2.5	135
VCkKTkLWh9dY5vSdNPZDqw	Mrakovic Meat & Deli	4.5	22
_G8bMhEbhTvDJ9jXH2jCNQ	Sonora Quest Laboratories	3.5	30
3Oya_jqC9Pe8Iz3zC_ztww	Meineke Car Care Center	2.5	47
AN0bWhisCf6LN9eHZ7DQ3w	Los Olivos Ristorante	5.0	222
qIKrN5ENU-QvFj9qZWArdA	All My Sons Moving & Storage	1.5	25
goar7zF4G0LdsQ1Y4KS3Iw	Pittsburgh Barbecue Company	4.0	91
ZajyN6HxKfgTW3b2byatLg	Tail Waggers Club	4.5	21
AtD6B83S4Mbmq0t7iDnUVA	Veggie House	4.5	1142
TKKX9bllRBMzp0NYr441PQ	Mi'Hito Sushi Laboratory	4.0	51
-LfTBo0oa_uD454ScEW2XA	Merry Ann's Diner	3.0	47
WsniwUYe-Xvb1mpskJttaA	Essentials Day Spa	4.5	26
GDf1SI_SnW93_lJN__egrQ	Kings	3.5	22
4kiFDm5NXJgGks9c9JY0_A	Henderson House Doctors	4.0	34
V6A5FZ9OfZ7r1Tc7x4CYXg	Verizon Authorized Retailer - GoWireless	4.5	20
UXgaUOaXsplzZeALU5ytsA	R+D Emporium	4.0	28
ebwM2pckHieHvK6h1scuBw	Lazeez Mediterranean Grill	3.5	124
